licence_num_Lv,value_Lv,value_usage,value
100使字第0001號,1棟 地上9樓,集合住宅(H2),135.91
100使字第0001號,1棟 地上3樓,集合住宅(H2),238.43
100使字第0001號,1棟 地上5樓,集合住宅(H2),238.43
100使字第0001號,1棟 突出物1樓,電梯間.屋頂平台,24.72
100使字第0001號,1棟 地上7樓,集合住宅(H2),238.43
100使字第0001號,1棟 地下1樓,防空避難室兼停車空間,468.0
100使字第0001號,1棟 地上1樓,"管委會辦公室,日常用品零售業(G3)自行車停車空間
",234.45
100使字第0001號,1棟 突出物2樓,電梯機械室,26.27
100使字第0001號,1棟 地上2樓,集合住宅(H2),238.43
100使字第0001號,1棟 地下3樓,停車空間.消防機房,468.0
100使字第0001號,1棟 地下2樓,停車空間.機械室,468.0
100使字第0001號,1棟 突出物3樓,水箱,22.28
100使字第0001號,1棟 地上4樓,集合住宅(H2),238.43
100使字第0001號,1棟 地上8樓,集合住宅(H2),226.75
100使字第0001號,1棟 地上6樓,集合住宅(H2),238.43
100使字第0002號,乙棟 地上3樓,(D4教育設施)供國中以上各級學校使用之教學場所—電梯,13.2
100使字第0002號,乙棟 地上1樓,(D4教育設施)供國中以上各級學校使用之教學場所—電梯,13.2
100使字第0002號,乙棟 地上2樓,(D4教育設施)供國中以上各級學校使用之教學場所—電梯,13.2
100使字第0002號,乙棟 地上4樓,(D4教育設施)供國中以上各級學校使用之教學場所—電梯,13.2
100使字第0002號,乙棟 地上5樓,(D4教育設施)供國中以上各級學校使用之教學場所—電梯,13.2
100使字第0003號,地上1樓,"未標明用途:地上1樓,面積:519.42㎡,高度:6.7M",519.42
100使字第0003號,地下1樓,"未標明用途:地下1樓,面積:797.7㎡,高度:3.5M",797.7
100使字第0004號,地上3樓,"未標明用途:地上3樓,面積:63㎡,高度:3M",63.0
100使字第0004號,突出物1樓,"未標明用途:突出物1樓,面積:17.5㎡,高度:4.3M",17.5
100使字第0004號,地上4樓,"未標明用途:地上4樓,面積:63㎡,高度:3M",63.0
