licence_num,value
100使字第0001號,臺北市內湖區潭美段五小段0071-0000號
100使字第0002號,臺北市大安區學府段一小段0392-0000號
100使字第0002號,臺北市大安區學府段一小段0566-0000號
100使字第0002號,臺北市大安區學府段一小段0393-0000號
100使字第0002號,臺北市大安區學府段一小段0569-0000號
100使字第0002號,臺北市大安區學府段一小段0591-0000號
100使字第0002號,臺北市大安區學府段一小段0573-0000號
100使字第0002號,臺北市大安區學府段一小段0391-0000號
100使字第0002號,臺北市大安區學府段一小段0592-0000號
100使字第0003號,臺北市信義區永春段三小段0127-0000號
100使字第0004號,臺北市內湖區碧湖段四小段0833-0000號
100使字第0005號,臺北市大同區大龍段三小段0266-0001號
100使字第0005號,臺北市大同區大龍段三小段0216-0000號
100使字第0006號,臺北市文山區興泰段一小段0165-0000號
100使字第0007號,臺北市中正區成功段三小段0101-0000號
100使字第0008號,臺北市文山區景美段二小段0229-0000號
100使字第0009號,臺北市南港區玉成段四小段0864-0000號
100使字第0010號,臺北市中山區長春段二小段0173-0000號
100使字第0010號,臺北市中山區長春段二小段0090-0000號
100使字第0011號,臺北市文山區政大段一小段0154-0000號
100使字第0012號,臺北市信義區信義段三小段0023-0000號
100使字第0013號,臺北市文山區萬隆段二小段0461-0000號
100使字第0014號,臺北市大同區延平段三小段0199-0002號
100使字第0014號,臺北市大同區延平段三小段0202-0002號
100使字第0014號,臺北市大同區延平段三小段0202-0001號
100使字第0014號,臺北市大同區延平段三小段0202-0003號
100使字第0014號,臺北市大同區延平段三小段0199-0001號
100使字第0014號,臺北市大同區延平段三小段0202-0000號
100使字第0014號,臺北市大同區延平段三小段0201-0000號
100使字第0014號,臺北市大同區延平段三小段0200-0000號
100使字第0015號,臺北市中正區南海段二小段0002-0002號
100使字第0016號,臺北市內湖區舊宗段0111-0012號
100使字第0017號,臺北市內湖區石潭段四小段0308-0000號
100使字第0018號,臺北市北投區新民段四小段0020-0003號
100使字第0018號,臺北市北投區新民段四小段0017-0000號
100使字第0018號,臺北市北投區新民段四小段0020-0002號
100使字第0018號,臺北市北投區新民段四小段0025-0000號
100使字第0018號,臺北市北投區新民段四小段0016-0000號
100使字第0018號,臺北市北投區新民段四小段0024-0000號
100使字第0018號,臺北市北投區新民段四小段0026-0000號
100使字第0018號,臺北市北投區新民段四小段0019-0000號
100使字第0018號,臺北市北投區新民段四小段0018-0000號
100使字第0018號,臺北市北投區新民段四小段0011-0000號
100使字第0018號,臺北市北投區新民段四小段0027-0000號
100使字第0018號,臺北市北投區新民段四小段0015-0000號
100使字第0019號,臺北市內湖區潭美段五小段0029-0000號
100使字第0019號,臺北市內湖區潭美段五小段0028-0000號
100使字第0020號,臺北市士林區天母段三小段0427-0000號
100使字第0021號,臺北市士林區海光段三小段0260-0000號
100使字第0021號,臺北市士林區海光段三小段0264-0000號
100使字第0021號,臺北市士林區海光段三小段0263-0000號
100使字第0021號,臺北市士林區海光段三小段0264-0001號
100使字第0021號,臺北市士林區海光段三小段0252-0000號
100使字第0022號,臺北市中山區長安段一小段0301-0000號
100使字第0023號,臺北市文山區木柵段二小段1022-0002號
100使字第0023號,臺北市文山區木柵段二小段1022-0001號
100使字第0024號,臺北市內湖區西湖段一小段0940-0000號
100使字第0024號,臺北市內湖區西湖段一小段0256-0001號
100使字第0025號,臺北市中山區正義段二小段0414-0001號
100使字第0025號,臺北市中山區正義段二小段0414-0000號
100使字第0026號,臺北市士林區三玉段三小段0310-0000號
100使字第0027號,臺北市大同區延平段三小段0208-0000號
100使字第0027號,臺北市大同區延平段三小段0208-0001號
100使字第0027號,臺北市大同區延平段三小段0209-0000號
100使字第0028號,臺北市大安區金華段一小段0734-0000號
100使字第0029號,臺北市中正區臨沂段四小段0320-0000號
100使字第0029號,臺北市中正區臨沂段四小段0320-0001號
100使字第0030號,臺北市大同區延平段三小段0182-0000號
100使字第0030號,臺北市大同區延平段三小段0184-0000號
100使字第0030號,臺北市大同區延平段三小段0185-0000號
100使字第0030號,臺北市大同區延平段三小段0184-0001號
100使字第0030號,臺北市大同區延平段三小段0183-0000號
100使字第0031號,臺北市中山區榮星段四小段0800-0000號
100使字第0031號,臺北市中山區榮星段四小段0804-0000號
100使字第0032號,臺北市中山區金泰段0083-0001號
100使字第0032號,臺北市中山區金泰段0083-0002號
100使字第0033號,臺北市士林區華岡段三小段0500-0000號
100使字第0033號,臺北市士林區華岡段三小段0501-0000號
100使字第0034號,臺北市內湖區西湖段四小段0158-0000號
100使字第0035號,臺北市中山區正義段三小段0168-0000號
100使字第0036號,臺北市士林區翠山段二小段0817-0000號
100使字第0036號,臺北市士林區翠山段二小段0880-0000號
100使字第0036號,臺北市士林區翠山段二小段0862-0001號
100使字第0036號,臺北市士林區翠山段二小段0869-0000號
100使字第0036號,臺北市士林區翠山段二小段0816-0000號
100使字第0036號,臺北市士林區翠山段二小段0792-0000號
100使字第0036號,臺北市士林區翠山段二小段0815-0000號
100使字第0036號,臺北市士林區翠山段二小段0791-0000號
100使字第0036號,臺北市士林區翠山段二小段0871-0000號
100使字第0036號,臺北市士林區翠山段二小段0824-0000號
100使字第0036號,臺北市士林區翠山段二小段0812-0000號
100使字第0036號,臺北市士林區翠山段二小段0813-0000號
100使字第0036號,臺北市士林區翠山段二小段0795-0000號
100使字第0036號,臺北市士林區翠山段二小段0830-0000號
100使字第0036號,臺北市士林區翠山段二小段0822-0000號
100使字第0036號,臺北市士林區翠山段二小段0879-0000號
100使字第0036號,臺北市士林區翠山段二小段0825-0000號
100使字第0036號,臺北市士林區翠山段二小段0881-0000號
100使字第0036號,臺北市士林區翠山段二小段0789-0000號
100使字第0036號,臺北市士林區翠山段二小段0829-0000號
100使字第0036號,臺北市士林區翠山段二小段0793-0000號
100使字第0036號,臺北市士林區翠山段二小段0831-0000號
100使字第0036號,臺北市士林區翠山段二小段0888-0001號
100使字第0036號,臺北市士林區翠山段二小段0794-0000號
100使字第0036號,臺北市士林區翠山段二小段0870-0000號
100使字第0036號,臺北市士林區翠山段二小段0761-0000號
100使字第0036號,臺北市士林區翠山段二小段0762-0000號
100使字第0036號,臺北市士林區翠山段二小段0818-0000號
100使字第0036號,臺北市士林區翠山段二小段0882-0000號
100使字第0036號,臺北市士林區翠山段二小段0885-0000號
100使字第0036號,臺北市士林區翠山段二小段0877-0000號
100使字第0036號,臺北市士林區翠山段二小段0786-0000號
100使字第0036號,臺北市士林區翠山段二小段0801-0000號
100使字第0036號,臺北市士林區翠山段二小段0799-0000號
100使字第0036號,臺北市士林區翠山段二小段0811-0000號
100使字第0036號,臺北市士林區翠山段二小段0806-0000號
100使字第0036號,臺北市士林區翠山段二小段0873-0000號
100使字第0036號,臺北市士林區翠山段二小段0797-0000號
100使字第0036號,臺北市士林區翠山段二小段0884-0000號
100使字第0036號,臺北市士林區翠山段二小段0823-0000號
100使字第0036號,臺北市士林區翠山段二小段0801-0001號
100使字第0036號,臺北市士林區翠山段二小段0876-0001號
100使字第0036號,臺北市士林區翠山段二小段0891-0000號
100使字第0036號,臺北市士林區翠山段二小段0856-0000號
100使字第0036號,臺北市士林區翠山段二小段0826-0000號
100使字第0036號,臺北市士林區翠山段二小段0798-0000號
100使字第0036號,臺北市士林區翠山段二小段0788-0000號
100使字第0036號,臺北市士林區翠山段二小段0802-0000號
100使字第0036號,臺北市士林區翠山段二小段0890-0000號
100使字第0036號,臺北市士林區翠山段二小段0833-0000號
100使字第0036號,臺北市士林區翠山段二小段0758-0000號
100使字第0036號,臺北市士林區翠山段二小段0891-0002號
100使字第0036號,臺北市士林區翠山段二小段0868-0000號
100使字第0036號,臺北市士林區翠山段二小段0819-0000號
100使字第0036號,臺北市士林區翠山段二小段0887-0000號
100使字第0036號,臺北市士林區翠山段二小段0807-0000號
100使字第0036號,臺北市士林區翠山段二小段0895-0000號
100使字第0036號,臺北市士林區翠山段二小段0883-0000號
100使字第0036號,臺北市士林區翠山段二小段0804-0000號
100使字第0036號,臺北市士林區翠山段二小段0889-0000號
100使字第0036號,臺北市士林區翠山段二小段0805-0000號
100使字第0036號,臺北市士林區翠山段二小段0872-0000號
100使字第0036號,臺北市士林區翠山段二小段0875-0001號
100使字第0036號,臺北市士林區翠山段二小段0834-0000號
100使字第0036號,臺北市士林區翠山段二小段0878-0000號
100使字第0036號,臺北市士林區翠山段二小段0803-0000號
100使字第0036號,臺北市士林區翠山段二小段0820-0000號
100使字第0036號,臺北市士林區翠山段二小段0796-0000號
100使字第0036號,臺北市士林區翠山段二小段0719-0000號
100使字第0036號,臺北市士林區翠山段二小段0808-0000號
100使字第0036號,臺北市士林區翠山段二小段0886-0000號
100使字第0036號,臺北市士林區翠山段二小段0832-0000號
100使字第0036號,臺北市士林區翠山段二小段0800-0000號
100使字第0036號,臺北市士林區翠山段二小段0821-0000號
100使字第0036號,臺北市士林區翠山段二小段0862-0000號
100使字第0037號,臺北市北投區桃源段四小段0069-0000號
100使字第0038號,臺北市士林區至善段二小段0112-0000號
100使字第0039號,臺北市內湖區潭美段五小段0129-0000號
100使字第0040號,臺北市士林區福順段二小段0101-0000號
100使字第0041號,臺北市萬華區華中段一小段0118-0000號
100使字第0042號,臺北市內湖區東湖段八小段0041-0000號
100使字第0042號,臺北市內湖區東湖段八小段0041-0001號
100使字第0043號,臺北市大安區懷生段二小段0527-0000號
100使字第0043號,臺北市大安區懷生段二小段0534-0011號
100使字第0043號,臺北市大安區懷生段二小段0531-0000號
100使字第0043號,臺北市大安區懷生段二小段0534-0000號
100使字第0043號,臺北市大安區懷生段二小段0530-0000號
100使字第0043號,臺北市大安區懷生段二小段0534-0005號
100使字第0043號,臺北市大安區懷生段二小段0521-0002號
100使字第0043號,臺北市大安區懷生段二小段0534-0009號
100使字第0043號,臺北市大安區懷生段二小段0534-0010號
100使字第0043號,臺北市大安區懷生段二小段0535-0000號
100使字第0043號,臺北市大安區懷生段二小段0534-0001號
100使字第0044號,臺北市士林區永平段三小段0708-0000號
100使字第0044號,臺北市士林區永平段三小段0308-0000號
100使字第0045號,臺北市北投區桃源段四小段0237-0000號
100使字第0045號,臺北市北投區桃源段四小段0267-0000號
100使字第0046號,臺北市大同區延平段二小段0158-0001號
100使字第0046號,臺北市大同區延平段二小段0157-0000號
100使字第0046號,臺北市大同區延平段二小段0158-0000號
100使字第0047號,臺北市大安區學府段四小段0349-0000號
100使字第0047號,臺北市大安區學府段四小段0352-0000號
100使字第0047號,臺北市大安區學府段四小段0348-0000號
100使字第0047號,臺北市大安區學府段四小段0344-0000號
100使字第0047號,臺北市大安區學府段四小段0316-0001號
100使字第0047號,臺北市大安區學府段四小段0334-0000號
100使字第0047號,臺北市大安區學府段四小段0343-0000號
100使字第0047號,臺北市大安區學府段四小段0346-0000號
100使字第0047號,臺北市大安區學府段四小段0315-0001號
100使字第0047號,臺北市大安區學府段四小段0328-0000號
100使字第0047號,臺北市大安區學府段四小段0313-0002號
100使字第0047號,臺北市大安區學府段四小段0230-0001號
100使字第0047號,臺北市大安區學府段四小段0230-0000號
100使字第0047號,臺北市大安區學府段四小段0355-0001號
100使字第0047號,臺北市大安區學府段四小段0353-0000號
100使字第0047號,臺北市大安區學府段四小段0355-0000號
100使字第0047號,臺北市大安區學府段四小段0345-0000號
100使字第0047號,臺北市大安區學府段四小段0313-0001號
100使字第0047號,臺北市大安區學府段四小段0317-0000號
100使字第0047號,臺北市大安區學府段四小段0329-0000號
100使字第0047號,臺北市大安區學府段四小段0230-0002號
100使字第0047號,臺北市大安區學府段四小段0216-0000號
100使字第0047號,臺北市大安區學府段四小段0354-0000號
100使字第0047號,臺北市大安區學府段四小段0217-0000號
100使字第0047號,臺北市大安區學府段四小段0349-0001號
100使字第0048號,臺北市內湖區碧湖段二小段0702-0000號
100使字第0049號,臺北市內湖區石潭段四小段0305-0000號
100使字第0050號,臺北市南港區中南段二小段0865-0000號
100使字第0051號,臺北市北投區立農段二小段0233-0000號
100使字第0052號,臺北市大安區辛亥段五小段0138-0008號
100使字第0052號,臺北市大安區辛亥段五小段0140-0000號
100使字第0052號,臺北市大安區辛亥段五小段0138-0010號
100使字第0052號,臺北市大安區辛亥段五小段0138-0009號
100使字第0052號,臺北市大安區辛亥段五小段0124-0000號
100使字第0053號,臺北市北投區崇仰段三小段0231-0000號
100使字第0053號,臺北市北投區崇仰段三小段0182-0000號
100使字第0053號,臺北市北投區崇仰段三小段0230-0000號
100使字第0053號,臺北市北投區崇仰段三小段0227-0007號
100使字第0053號,臺北市北投區崇仰段三小段0182-0001號
100使字第0053號,臺北市北投區崇仰段三小段0257-0000號
100使字第0053號,臺北市北投區崇仰段三小段0182-0002號
100使字第0053號,臺北市北投區崇仰段三小段0179-0000號
100使字第0053號,臺北市北投區崇仰段三小段0177-0001號
100使字第0054號,臺北市內湖區石潭段三小段0658-0000號
100使字第0055號,臺北市中山區正義段二小段0499-0001號
100使字第0055號,臺北市中山區正義段二小段0497-0000號
100使字第0056號,臺北市內湖區舊宗段0032-0009號
100使字第0057號,臺北市南港區中南段一小段0714-0000號
100使字第0058號,臺北市中山區北安段三小段0820-0000號
100使字第0058號,臺北市中山區北安段三小段0810-0000號
100使字第0058號,臺北市中山區北安段三小段0808-0000號
100使字第0058號,臺北市中山區北安段三小段0809-0000號
100使字第0058號,臺北市中山區北安段三小段0027-0001號
100使字第0058號,臺北市中山區北安段三小段0822-0001號
100使字第0058號,臺北市中山區北安段三小段0815-0000號
100使字第0058號,臺北市中山區北安段三小段0811-0000號
100使字第0058號,臺北市中山區北安段三小段0817-0000號
100使字第0058號,臺北市中山區北安段三小段0813-0000號
100使字第0058號,臺北市中山區北安段三小段0816-0000號
100使字第0058號,臺北市中山區北安段三小段0814-0000號
100使字第0059號,臺北市大同區延平段三小段0230-0001號
100使字第0059號,臺北市大同區延平段三小段0231-0000號
100使字第0059號,臺北市大同區延平段三小段0230-0000號
100使字第0060號,臺北市內湖區舊宗段0093-0009號
100使字第0061號,臺北市士林區蘭雅段一小段0579-0001號
100使字第0061號,臺北市士林區蘭雅段一小段0422-0000號
100使字第0062號,臺北市北投區豐年段一小段0235-0000號
100使字第0063號,臺北市大安區金華段四小段0214-0000號
100使字第0064號,臺北市士林區至善段六小段0385-0000號
100使字第0065號,臺北市士林區天母段二小段0007-0000號
100使字第0066號,臺北市南港區向陽段0013-0002號
100使字第0067號,臺北市南港區向陽段0009-0001號
100使字第0068號,臺北市文山區政大段一小段0109-0000號
100使字第0069號,臺北市中正區南海段三小段0320-0001號
100使字第0069號,臺北市中正區南海段三小段0321-0001號
100使字第0069號,臺北市中正區南海段三小段0322-0000號
100使字第0070號,臺北市大安區懷生段四小段0366-0000號
100使字第0071號,臺北市內湖區文德段五小段0205-0000號
100使字第0072號,臺北市萬華區莒光段二小段0826-0000號
100使字第0073號,臺北市萬華區萬華段二小段0390-0002號
100使字第0073號,臺北市萬華區萬華段二小段0391-0000號
100使字第0073號,臺北市萬華區萬華段二小段0390-0000號
100使字第0073號,臺北市萬華區萬華段二小段0390-0003號
100使字第0074號,臺北市內湖區潭美段五小段0133-0000號
100使字第0074號,臺北市內湖區潭美段五小段0132-0000號
100使字第0075號,臺北市內湖區舊宗段0070-0013號
100使字第0075號,臺北市內湖區舊宗段0070-0010號
100使字第0076號,臺北市松山區延壽段一小段0408-0000號
100使字第0077號,臺北市大安區龍泉段三小段0483-0000號
100使字第0078號,臺北市大同區雙連段二小段0175-0001號
100使字第0078號,臺北市大同區雙連段二小段0181-0000號
100使字第0078號,臺北市大同區雙連段二小段0179-0000號
100使字第0078號,臺北市大同區雙連段二小段0169-0001號
100使字第0078號,臺北市大同區雙連段二小段0155-0000號
100使字第0078號,臺北市大同區雙連段二小段0192-0000號
100使字第0078號,臺北市大同區雙連段二小段0160-0000號
