licence_num,使用分區,其他基地面積,原建照,地上層數,地上避難面積,地下層數,地下避難面積,工程造價,幢數,建物高度,建築面積,建造類別,戶數,棟數,構造種類,法定空地面積,發照日期,竣工日期,簷高,開工日期,騎樓基地面積
100使字第0001號,住宅區,723.36,097建字第0032號,9,0,3,393.6,3932.0,1,30.5,253.13,新建,16,1,RC造,470.18,2011-01-03,2010-08-31,,2008-10-07,0
100使字第0002號,師專用地,71525,098建字第0203號,5,0,0,0,107.0,1,22.85,13.2,增建,1,1,鋼骨造,42915,2011-01-03,2010-02-01,,2009-09-21,0
100使字第0003號,保護區,9742,092建字第0019號,1,,1,,1744.0,1,6.7,519.42,新建,1,1,RC造,7306.5,2011-01-03,2010-08-19,,2003-10-07,0
100使字第0004號,住2,187,098建字第0125號,5,0,0,0,261.0,1,15.3,64.94,新建,1,1,RC造,121.55,2011-01-03,2010-09-06,,2009-04-27,0
100使字第0005號,機關用地(公共設施用地)(供社會福利設施、區民活動中心等使用),2595,097建字第0282號,10,0,2,1834.8,14702.0,0,38.5,1037.52,新建,13,1,RC造,1554,2011-01-04,2010-09-06,,2008-10-27,0
100使字第0006號,住2,260,097建字第0545號,2,0,1,0,136.0,1,6.6,72.7,修建,1,1,RC造,169,2011-01-06,2010-06-15,,2009-07-09,0
100使字第0007號,行政區,1140,098建字第0279號,4,0,1,0,143.0,0,21.9,444.64,增建,1,1,鋼骨造,767,2011-01-07,2010-04-21,,2009-09-21,138.32
100使字第0008號,住3,217,098建字第0326號,7,0,1,121.92,958.0,1,26.65,97.61,新建,7,1,RC造,119.35,2011-01-07,2010-11-02,,2009-09-24,0
100使字第0009號,住3－2,254.7,096建字第0208號,14,0,1,280.56,3836.0,1,49.9,121.26,新建,68,1,RC造、鋼骨造,143.86,2011-01-10,2009-11-10,,2007-09-28,92.3
100使字第0010號,商三特(原住三之二)、住3,5090.82,098雜字第0039號,0,,0,,20.0,0,0,0,修建,0,0,鋼骨造,0,2011-01-10,2010-08-02,,2010-01-22,0
100使字第0011號,住2,425.07,096建字第0645號,4,0,1,0,651.0,0,17.5,148.77,新建,7,1,RC造,276.3,2011-01-12,2010-04-12,,2008-02-12,0
100使字第0012號,住宅區(信義計畫特定專用區),8668,094建字第0295號,17,0,3,4890.46,57114.0,0,62.6,2997.46,新建,49,4,鋼骨RC造,5200.8,2011-01-12,2010-11-26,62.4,2006-03-22,0
100使字第0013號,第三種住宅,3998.87,097建字第0189號,22,0,4,1971.28,39403.0,2,73.3,1077.14,新建,154,2,RC造,2199.38,2011-01-13,2010-10-19,,2008-06-19,0
100使字第0014號,特定專用區(一)(供特定商業使用),404.35,095建字第0359號,3,0,0,0,476.0,1,13.76,359.33,新建,3,3,加強磚造、加強磚石造、RC造,66.3,2011-01-13,2010-06-02,,2007-05-20,37.65
100使字第0015號,住4,508,098建字第0229號,7,0,2,313.34,2321.0,1,22.32,253.59,新建,15,1,RC造,254.41,2011-01-13,2010-11-30,,2009-12-18,0
100使字第0016號,住宅區(供住宅使用),376.08,097建字第0256號,7,0,1,163.35,965.0,1,24.7,145.03,新建,10,1,RC造,231.05,2011-01-18,2010-12-01,,2008-10-24,0
100使字第0017號,商3,791.22,097建字第0499號,12,0,4,698.98,9168.0,1,35.98,547.15,新建,1,1,RC造,308.7,2011-01-19,2010-10-26,,2009-02-27,90.77
